president_name,speech_title,speech_date,speech_duration
Thomas Jefferson,First Inaugural Address,"March 04, 1801",1724
Donald Trump,Labor Day Press Conference,"September 07, 2020",8599
Lyndon B. Johnson,Remarks at Gettysburg on Civil Rights,"May 30, 1963",686
James Monroe,Second Annual Message,"November 16, 1818",4376
James Madison,Message on the Special Congressional Session/State of Foreign Affairs,"May 23, 1809",1110
Abraham Lincoln,First Annual Message,"December 03, 1861",6977
Herbert Hoover,Second State of the Union address.,"December 02, 1930",4534
Barack Obama,Remarks on Election Night,"November 04, 2008",1927
George H. W. Bush,Address Before a Joint Session of Congress,"September 11, 1990",3217
William Taft,Message Regarding Tariff Legislation,"March 16, 1909",329
Joe Biden,Speech before the 77th Session of the United Nations General Assembly,"September 21, 2022",3623
Andrew Jackson,First Inaugural Address,"March 04, 1829",1124
Warren G. Harding,High Wages for High Production,"July 22, 1920",511
John F. Kennedy,"Address at the University of California, Berkeley","March 23, 1962",2235
George W. Bush,Farewell Address to the Nation,"January 15, 2009",1841
Herbert Hoover,Principles and Ideals of the United States Government,"October 22, 1928",6161
Andrew Johnson,Message Following the Death of Abraham Lincoln,"April 17, 1865",357
Dwight D. Eisenhower,State of the Union Address,"January 09, 1959",4968
Andrew Jackson,Eighth Annual Message to Congress,"December 05, 1836",12346
Millard Fillmore,Message Regarding Disturbance in Boston,"February 19, 1851",3313
Franklin D. Roosevelt,State of the Union (Four Freedoms),"January 06, 1941",3286
Bill Clinton,State of the Union Address,"January 19, 1999",7470
John Adams,Special Session Message to Congress (XYZ Affair),"May 16, 1797",3026
Ronald Reagan,Address Announcing His Candidacy for Reelection,"January 29, 1984",716
Woodrow Wilson,"Wilson's ""Fourteen Points""","January 08, 1918",2488
Donald Trump,Statement on the the Death of Abu Bakr al-Baghdadi,"October 27, 2019",740
John Adams,Inaugural Address,"March 04, 1797",2317
Ronald Reagan,State of the Union Address,"January 25, 1984",4940
Woodrow Wilson,Fifth Annual Message,"December 04, 1917",3915
Donald Trump,Remarks on the Killing of Qasem Soleimani,"January 03, 2020",526
Dwight D. Eisenhower,State of the Union Address,"January 09, 1958",4953
Andrew Jackson,Statement on the Independence of Texas,"December 21, 1836",1799
Millard Fillmore,Message Regarding Agreement with Texas,"December 13, 1850",902
Franklin D. Roosevelt,Third Inaugural Address,"January 20, 1941",1334
